,Unnamed: 0,category,text
9778,9778,QUALITY#POSITIVE,The food was decent (better than average) but the price was absurd ($34) and the line was long.
8432,8432,RESTAURANT#POSITIVE,"I would definitely go back here again....good food, good service, good view and good friends."
561,561,SERVICE#POSITIVE,"The service and staff were gracious and very helpful their suggestions for lunch were great, the food and drinks were all prepared and served perfectly."
1719,1719,LOCATION#NEGATIVE,"As some other reviewers have mentioned, the location isn't the best, but the food definitely makes up for it."
4545,4545,FOOD#POSITIVE,My god they make the best club sandwiches!
4642,4642,FOOD#POSITIVE,"I thought it might be those frenchy restaurants where food looks pretty but they hardly serve you food; well, nooooo, food looks, pretty, tastes amazing and it's worth the price."
2002,2002,LOCATION#POSITIVE,The setup of this place is pretty typical - nothing fancy but definitely clean and orderly.
11142,195,LOCATION#NEGATIVE,The place is small and cramped but the food is fantastic.
562,562,SERVICE#POSITIVE,The service and food was delicious.
9748,9748,QUALITY#POSITIVE,"One of the best steak I had during my trip, and even the creme brulee was the right amount of softness."
9012,9012,RESTAURANT#POSITIVE,The buffet was not cheap but between the amazing food and my endless bloody mary's it was worth every penny.
9178,9178,RESTAURANT#POSITIVE,"Every Vegas trip, I literally find excuses to walk by Planet Hollywood so that I can grab a sandwich really quick and eat while I walk."
2919,2919,RESTAURANT#NEGATIVE,"People should try other places to get the better deal, overall."
8999,8999,RESTAURANT#POSITIVE,"I don't often repeat my dining spots in Vegas, but I'll probably walk in and roll myself out again next time I'm there."
5396,5396,FOOD#POSITIVE,The variety is spot on.
8917,8917,RESTAURANT#POSITIVE,IF you are in Vegas please do yourself a favor and treat yourself to the best breakfast you will ever have in your life!
2290,2290,LOCATION#POSITIVE,The decor and lighting in the area was great (just like the rest of the hotel) and the overall taste of the food was satisfying.
5531,5531,PRICE#POSITIVE,"For ~$70\/couple, I wold say that the food and service was definitely worth it."
5745,5745,PRICE#POSITIVE,"In a sea of expensive of food places, there is a glimmer of hope with Earl of Sandwich."
11396,461,LOCATION#POSITIVE,The place is a BISTRO which means: simple dishes and wine served efficiently in a bustling atmosphere.
7538,7538,SERVICE#NEGATIVE,Apparently they have no busser in the floor from 7 to  9:30ish at the busiest time.
931,931,PRICE#NEGATIVE,Very over priced.
5026,5026,FOOD#POSITIVE,+Dessert selection was amazing... pity I had no more room to indulge.
1571,1571,LOCATION#NEGATIVE,"The waitress said it was because the area in the greenhouse area we were in was the ""wind tunnel"" but it was still disappointing."
6462,6462,QUALITY#NEGATIVE,"We got there early enough during lunch that they were still making the made-to-order pancakes (regular ones and red velvet), good election of toppings but the actual taste and fluffiness was not what you would expect from a good pancake."
6150,6150,QUALITY#NEGATIVE,"Creating so much food in such a quantity simply loses the focus and flavor of these dishes, and although there was nothing so bad, none of the food was good enough to make us say ""wow, we would come back just for this or that""."
6395,6395,QUALITY#NEGATIVE,Maybe people like s big pile of shredded meat with melted cheese but to me that's not corned beef hash.
4939,4939,FOOD#POSITIVE,"It's pretty cool how they portion out their food so a lot of it doesn't go to waste and you can actually keep track of how many servings you intake, but I mean, that's about it."
1957,1957,LOCATION#POSITIVE,It's worth the view.
6057,6057,QUALITY#NEGATIVE,Cold and not fresh food get low mark on my reviews.
7445,7445,SERVICE#NEGATIVE,I am really disappointed in their service and execution of help during an illness and emergency.
6182,6182,QUALITY#NEGATIVE,"They had all the standard breakfast foods, sausages, bacon, eggs, waffles etc, but nothing fancy smancy."
233,233,SERVICE#POSITIVE,"Service, atmosphere, food - everything was perfect and an amazing deal!"
9916,9916,QUALITY#POSITIVE,I tried three different flavors and they all were amazingly delicious!
3753,3753,FOOD#POSITIVE,"Medium spicy was enough to make me sweat

Best meal I have had in Vegas on my own dime"
11768,848,PRICE#POSITIVE,Cheese plate is a varied delight and great bargain at $10.
11186,241,QUALITY#POSITIVE,"Moules were excellent, lobster ravioli was VERY salty!"
5494,5494,FOOD#POSITIVE,"THE GOOD NEWS is that my boyfriend really liked the food, service was alright and that was very important to me."
9584,9584,RESTAURANT#POSITIVE,"Most authentic, delicious Thai food in all of Las Vegas!"
1185,1185,PRICE#NEGATIVE,"All in all, Hash House was good but a bit over-hyped, over-priced, and probably not worth the wait next time we visit."
1687,1687,LOCATION#NEGATIVE,The outside of the restaurant looks like a hole-in-the-wall type of place located in a shady\/seedy looking strip mall but once you walk inside be prepared for a long wait if you don't already have reservations.
11187,242,QUALITY#NEGATIVE,"Moules were excellent, lobster ravioli was VERY salty!"
65,65,SERVICE#POSITIVE,Friendly staff.
12456,1555,RESTAURANT#POSITIVE,A great place to meet up for some food and drinks...  
996,996,PRICE#NEGATIVE,We weren't sure why we paid for lunch when majority of the food was leftover breakfast items.
10094,10094,QUALITY#POSITIVE,My god they make the best club sandwiches!
10116,10116,QUALITY#POSITIVE,"Mon garçon Francois laid the Gallic charm on pretty thick, but did it with a self-aware smile that was completely disarming."
6142,6142,QUALITY#NEGATIVE,"So minus a star for disgusting dry quiche, and another for subpar service."
6693,6693,QUALITY#NEGATIVE,Then the Burgers came out and wasnt cooked very well at all.
10284,10284,QUALITY#POSITIVE,Much better food on the strip.
9495,9495,RESTAURANT#POSITIVE,Very good choice for the $
2298,2298,LOCATION#POSITIVE,"We could view the Strip and people-watch, but were out of the cold and wind."
432,432,SERVICE#POSITIVE,"As for me I go back to Vegas in 18 days and I will probably eat at least 3 times there, the entire staff from the girls at the front, managers, servers, busser's, chefs are always incredible to me and any one I have brought there or told to dine there, even if you don't want a burger go for the desserts ;) till next time David Cagle"
8492,8492,RESTAURANT#POSITIVE,"That is quite a recommendation, considering I am part Thai, my father was a Thai chef, and I travel all over Thailand frequently eating my way through the country :-)

It is crazy what you find in a nondescript strip mall off the Strip."
2389,2389,LOCATION#POSITIVE,"We sat in the covered area behind the walk up window, enjoyed our treats."
12423,1522,QUALITY#POSITIVE,The portions are small but being that the food was so good makes up for that.
5809,5809,PRICE#POSITIVE,"I would be back, I feel $43 you can get your money worth but if it the price (depending on season you go) is more than $50 better to look around"
10326,10326,QUALITY#POSITIVE,The desserts were the best part of my meal.
10391,10391,QUALITY#POSITIVE,"I had the Sage Chicken Benny, or thought I did... the first time they brought it out without the chicken... presentation was nice and flavors were great."
7670,7670,FOOD#NEGATIVE,"Under Ramsay's name, they should seriously work on the fries if more than a few customer complained about it already."
11336,400,QUALITY#POSITIVE,We had Pam's special fried fish and it was amazing.
2512,2512,LOCATION#POSITIVE,"Besides the ambiance, I also loved the tapas style of dishes."
11997,1084,QUALITY#POSITIVE,Delicious crab cakes too.
11753,832,RESTAURANT#POSITIVE,I highly recommend the restaurant based on our experience last night.
8988,8988,RESTAURANT#POSITIVE,I'd want to go back to try different dishes.
9279,9279,RESTAURANT#POSITIVE,You would never really know it was a buffet because the food isn't sitting in a chafer and the staff are always nearby tossing and preparing for your enjoyment.
5277,5277,FOOD#POSITIVE,"Amazing view of the fountains, outside patio with mists and a nice breakfast selection."
11260,319,QUALITY#NEGATIVE,"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience)."
10727,10727,QUALITY#POSITIVE,"It was so good, i finished the whole thing by myself!"
1859,1859,LOCATION#POSITIVE,"love the patio seating, great seats for people watching especially in the blazing heat.... but hey get some mimosas to cool you down.... they had a bloody mary bar which i thought was really amazing...they give u a plain bloody mary and you can add all your garnishes with a variety of olives, celery, all kinds of hot sauce!"
12212,1305,QUALITY#POSITIVE,"Downtown Dinner 2002 - Prixe fix: Appetizers were ok, waiter gave me poor suggestion..try the potato stuff kanish best one."
12111,1201,QUALITY#POSITIVE,"The food is yummy, especially their cooked-to-perfection mussels in spicy tomato sauce and their shoestring crispy fries."
4649,4649,FOOD#POSITIVE,"There's no need to do a ton of research here, if you're an expert of this region of Thailand's cuisine,  you'll know what to try."
6401,6401,QUALITY#NEGATIVE,"For the price of $42, I was expecting most of it to be higher quality."
10505,10505,QUALITY#POSITIVE,"They had amazing breads, vegetables, lasagna, pizzas, pastas, crab legs, lobster, shrimp, fruits, cheeses, caprese salads, ravioli's....the list goes on and on."
11678,757,QUALITY#NEGATIVE,"limited menu, no-so-fresh ingredients, thinly-sliced fish, fall-apart rice. "
6611,6611,QUALITY#NEGATIVE,No drinks.
4508,4508,FOOD#POSITIVE,"They also have a cheap lunch buffet with Pad Thai, a curry, a few other dishes and one of my favorite dishes there, the Garlic Wings."
2436,2436,LOCATION#POSITIVE,"Best of all, if you're there at the right time, you are directly across from the Bellagio Fountains, so you get a show with your meal!"
9306,9306,RESTAURANT#POSITIVE,There were about 30 people already in line at that time which attests to the popularity of this restaurant.
1741,1741,LOCATION#NEGATIVE,"The location is inside a random plaza downtown, and it was a bit sketch at night because there was this homeless dude walking around."
11385,449,RESTAURANT#POSITIVE,"Yes, the prices are high, but I felt it was worth it."
12522,1624,SERVICE#POSITIVE,"Interesting selection, good wines, service fine, fun decor."
6294,6294,QUALITY#NEGATIVE,"The roast beef on the original was extremely chewy though, and I had to spit out a lot of the meat."
5827,5827,PRICE#POSITIVE,"Great food, awesome wine list, high quality stems, friendly service and reasonable prices."
6069,6069,QUALITY#NEGATIVE,"Milkshakes are 1\/2 shake, 1\/2 pudding and we found the pudding to be grainy."
11617,694,RESTAURANT#POSITIVE,A guaranteeed delight!
2617,2617,RESTAURANT#NEGATIVE,"Not a big deal but after finding out about the cutbacks on king crab legs, then my other favorite buffet item ran out for the day, I left very unhappy.. and feeling jipped."
97,97,SERVICE#POSITIVE,"The food was good, service was great!"
8959,8959,RESTAURANT#POSITIVE,It was still a good experience though.
1149,1149,PRICE#NEGATIVE,I would give it 5 stars but the price for food here is RIDIC!
8592,8592,RESTAURANT#POSITIVE,But Wicked Spoon in my opinion is very popular because the food keeps a nice level of quality and a few more items that wouldn't normally be seen at a buffet.
2898,2898,RESTAURANT#NEGATIVE,"If you want great food, visit a well reviewed restaurant."
12023,1110,QUALITY#POSITIVE,"Best Italian food I ever had (and being Italian, that means alot)."
10328,10328,QUALITY#POSITIVE,"Awesome selection of food, hip looking seating area, and delicious desserts."
1275,1275,PRICE#NEGATIVE,"We went to the Wynn buffet a couple days ago and it was not only cheaper, it was better tasting and nicer looking."
5725,5725,PRICE#POSITIVE,"Won't be a stop on *my* next trip to Vegas, but if you've just lost your shirt at the blackjack table, *you* may want to stop by this wallet-friendly Planet Hollywood eatery."
2303,2303,LOCATION#POSITIVE,Beware - there are no reservations for patio seating so if you want a view plan to head over early and wait.
1467,1467,PRICE#NEGATIVE,"Despite the arm and leg you have to offer to be seated at this establishment, I'd have to say the food is to die for."
9679,9679,QUALITY#POSITIVE,This is one of those meals and experiences that I'm still thinking about because it was that good.
9785,9785,QUALITY#POSITIVE,"A pricey burger, but a good one nonetheless."
8883,8883,RESTAURANT#POSITIVE,"ROASTED JALAPEÑO POPPERS - Cheddar bacon, cheddar ranch, one fiery surprise

I think Gordy was trying to showcase his Michelin 3 star plating techniques by serving each popper in its own shot glass."
417,417,SERVICE#POSITIVE,I will note this is the first good valet experience even if it is on the third try.
11114,167,SERVICE#POSITIVE,"We have been to this place many times, and always have great food, wine, and service."
155,155,SERVICE#POSITIVE,"Of course, huge line, but I could not believe how fast the line moved and how quickly the food came."
9598,9598,RESTAURANT#POSITIVE,"I spent about an hour and a half there, slowly sipping my wine and reading my book while I ate, pausing every 20 minutes or so to watch the amazing fountains across the street (and the people watching isn't bad either :)."
12416,1515,PRICE#NEGATIVE,But $1 for each small piece???
7463,7463,SERVICE#NEGATIVE,Once you get passed the long line to the register I normally order 6 sandwiches because I go to Vegas twice a year and the line is long so I have to make it worth my while and share it with the family.
3458,3458,FOOD#POSITIVE,The place is good with beautiful waitresses and the food is amazing!
554,554,SERVICE#POSITIVE,"Elegant location, scrumptious food, and superb service."
3126,3126,RESTAURANT#NEGATIVE,"The portions of plated food are all going to be smaller naturally, but that's what makes this place annoying."
10262,10262,QUALITY#POSITIVE,and lastly the dessert maybe small in scale compare to the Wynn but was scrumptious and different.
8010,8010,FOOD#NEGATIVE,This establishment is less frequented than other establishment which means more food is under the heat lamps longer than usual.
3139,3139,RESTAURANT#NEGATIVE,"Overall, I'd give this place 5 stars for friendly service and amazingly large and creative portions, but only 3 stars on taste that doesn't match presentation."
5603,5603,PRICE#POSITIVE,An excellent value for about $25 per dish.
11657,735,LOCATION#POSITIVE,Decor is nice though service can be spotty.
6099,6099,QUALITY#NEGATIVE,The service is slow an the food is awful this was my third visit and every time the service and food kept getting worse!
499,499,SERVICE#POSITIVE,"Now after placing our order, apparently, workers inside saw the huge line building up outside the ""take-out"" window, and one extra person decided to help out."
749,749,SERVICE#POSITIVE,"The service was really nice; the person making the tacos, for example, had a smile on her face the whole time :D
As for the food, I thought the meats were tender but nothing wowing."
9666,9666,QUALITY#POSITIVE,another great experience here... yummy bloody mary... good crusty bread and real butter...
6573,6573,QUALITY#NEGATIVE,Wow I paid 110 on Easter morning for old food.
1452,1452,PRICE#NEGATIVE,Holiday buffet is approx $60+ and the food is indeed so so.
5673,5673,PRICE#POSITIVE,"I love the lunch buffet, it's a great value!"
6656,6656,QUALITY#NEGATIVE,"For a girl who can eat, i found a whole section of food that was literally uneatable."
5664,5664,PRICE#POSITIVE,Or pay $35 for that all day buffet deal that lets you eat at 5 different buffets on the strip.
5989,5989,PRICE#POSITIVE,We went in at 2:15pm when they still charge you their lunch price ($38\/person).
4787,4787,FOOD#POSITIVE,Definitely a nice buffet to try a variety of items and get some nice presentation and eye candy from it that you miss out on when you go to a buffet as to a fine dining restaurant in Vegas.
6956,6956,SERVICE#NEGATIVE,They were very slow at moving the line and the staff were not very forthcoming or putting forward good customer service.
5289,5289,FOOD#POSITIVE,"Located on the second floor of Imperial Palace which is a random spot to be, HH is place you should defintely check out if you want some good food and want to avoid buffets."
4411,4411,FOOD#POSITIVE,The ice cream sandwich - what a perfect way to end your meal.
6793,6793,SERVICE#NEGATIVE,We inquired as to the wait (we were not greeted or anything) and the host didn't even look up and told us 25-40 minutes.
12520,1622,QUALITY#POSITIVE,"La Rosa waltzes in, and I think they are doing it the best."
11835,917,RESTAURANT#POSITIVE,I was pleasantly surprised to find this gem in Hoboken.
7630,7630,FOOD#NEGATIVE,"Ambiance is lovely

Food is Ok, there aren't many choices, especially for sea food."
9101,9101,RESTAURANT#POSITIVE,Hands down one of the BEST buffets in Vegas.
1539,1539,LOCATION#NEGATIVE,"OK they have this non-ironic crap '80s music playing, and these weird little uniforms on the staff, and the FUGLIEST wall decoration: photos of food wrapped up in clothes."
3165,3165,RESTAURANT#NEGATIVE,"Yes, it was fun with all the different food booth but my low rating is all about experience."
7103,7103,SERVICE#NEGATIVE,"No no no.... That's not how to react to someone spending their time on the phone complaining instead of having fun, act like you care, and try hard to be nice since you are a major asshole."
7962,7962,FOOD#NEGATIVE,"The food offerings here are mostly standard for Vegas buffets: salad bar, crab legs, sushi, dessert bar."
1222,1222,PRICE#NEGATIVE,If you want to waste 30 bucks a person put the money on a number at the roulette table instead.
11294,356,RESTAURANT#POSITIVE,You will not be disapointed at all.
5439,5439,FOOD#POSITIVE,Just a sandwich place that's good and cheaper than most Vegas places.
8576,8576,RESTAURANT#POSITIVE,It wasn't my favorite but still good quality.
8636,8636,RESTAURANT#POSITIVE,Another go to spot for all my out of town guests in my home.
5371,5371,FOOD#POSITIVE,The lunch buffet ran about $30 but there's a great selection of food.
6230,6230,QUALITY#NEGATIVE,Everything was just about perfect from the service to the food except for my hamburger.
10883,10883,QUALITY#POSITIVE,Probably was one of the best short rib dinners I've ever experienced .
8299,8299,RESTAURANT#POSITIVE,Enjoy .. can't wait to try the Bellagio Buffet!
7530,7530,SERVICE#NEGATIVE,"All I was expecting was an apology or ""I'll go check with the food staff about the supply"" and I would have been ok."
1723,1723,LOCATION#NEGATIVE,"Other than the awkward, mysterious, FAR walk to the buffet, it was just awesome."
2116,2116,LOCATION#POSITIVE,"If you decide you must eat here sit on the patio, watch the Bellagio fountains ,get a mon ami margarita, and fill up on your frites."
12329,1425,QUALITY#NEGATIVE,skip dessert.
8212,8212,RESTAURANT#POSITIVE,I think it's one of the best buffet I had ever tried.
12086,1175,SERVICE#POSITIVE,Always busy but fast moving.
2401,2401,LOCATION#POSITIVE,The restaurant decor is really cute.
11144,197,QUALITY#POSITIVE,Get the tuna of gari.
11233,292,FOOD#NEGATIVE,"Also, because it is so thin, it gets cold very quickly and its not that filling."
6126,6126,QUALITY#NEGATIVE,I got food poisoning here from eating their quiche.
11670,749,QUALITY#NEGATIVE,The fish was not fresh and the rice tasted old and stale.
4106,4106,FOOD#POSITIVE,The subs are good but only 6-inches and for $6-each... it's a bit pricey.
8151,8151,FOOD#NEGATIVE,"Ambience: Though i wasn't really impressed with the food, this was probably one of the nicest restos i've ever seen!"
8541,8541,RESTAURANT#POSITIVE,"In my opinion, the Serendipity 3 in Vegas relies on the draw of their name and offers little more than an average dining experience on the Strip."
1642,1642,LOCATION#NEGATIVE,"Parking in PH sucks though, I have to go through all the shops before getting to the casino."
5610,5610,PRICE#POSITIVE,"The chef ramsay, great job of getting what the fans wanted a burger joint that is affordable."
11317,381,RESTAURANT#NEGATIVE,The service was the only thing good about this restaurant.
1633,1633,LOCATION#NEGATIVE,"Our server was great, but the seating situation sucked."
4434,4434,FOOD#POSITIVE,"Surprisingly, this buffet's seafood selection was close to awesome."
4846,4846,FOOD#POSITIVE,"Always stellar service, food, and atmosphere."
3422,3422,FOOD#POSITIVE,"Pros were the beef ribs (fresh cut at the Prime Rib station), and actually, the mushroom polenta (though admittedly, I'm a sucker for mushroom dishes)."
3055,3055,RESTAURANT#NEGATIVE,I would not return to Serendipty 3.
12452,1551,QUALITY#POSITIVE,Consistently good Japanese Tapas.
2421,2421,LOCATION#POSITIVE,Also great view of the Bellagio Fountains.
7641,7641,FOOD#NEGATIVE,"We wished there were some classic  favorites: creme brulee, mini pie\/fruit tarts, cream puff type of mini bites."
7425,7425,SERVICE#NEGATIVE,"The Buffet begins with a ridiculously long waiting line, which until now, I don't understand the hype behind it."
6688,6688,QUALITY#NEGATIVE,"They had a lot of options, but I think they fell short on quality, at least for lunch."
5860,5860,PRICE#POSITIVE,"Our bill came out to be $100 per COUPLE, including a generous tip and almost everyone had a drink or 2."
150,150,SERVICE#POSITIVE,"The service was very good, refills on water came swiftly, and the pacing was appropriate for a French restaurant (i.e."
7239,7239,SERVICE#NEGATIVE,In the end we were not only annoyed but disappointed with the level of service.
5432,5432,FOOD#POSITIVE,They also had a huge dessert bar with an excellent selection.
7074,7074,SERVICE#NEGATIVE,This means majority of the guests are waiting for others to receive their food before everyone gets to enjoy.
8222,8222,RESTAURANT#POSITIVE,This mighty establishment has made a fine addition to our meals at all hours around the clock.
9589,9589,RESTAURANT#POSITIVE,"Cool for a buffet, but as a restaurant overall, eh, I'd mildly entertain the thought of returning."
4785,4785,FOOD#POSITIVE,"The reason it's better is simple, portion controlled dishes so that you get the dish exactly the way the chefs want you to."
171,171,SERVICE#POSITIVE,Service : always attentive and was great.
4830,4830,FOOD#POSITIVE,"Carving station was awesome- BBQ chicken, ribs, brisket, prime rib, lamb chops."
12208,1300,SERVICE#POSITIVE,The waiter was attentive.
9515,9515,RESTAURANT#POSITIVE,"Ok, this really is as good as it gets when it comes to buffet."
11690,769,QUALITY#NEGATIVE,"I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was."
9491,9491,RESTAURANT#POSITIVE,Don't be turned off by the location-- Lotus of Siam is worth the hype.
7576,7576,SERVICE#NEGATIVE,This time the server ignored us.
1020,1020,PRICE#NEGATIVE,43 per person was worth it for lunch but we got lucky because at 3 dinner started so we got there at 2:30 and got to enjoy both!!!
7253,7253,SERVICE#NEGATIVE,Instead... they were happily giggling and chatting in a corner with a few of the waitstaff.
10919,10919,QUALITY#POSITIVE,This buffet had a giant variety of many different types of food and they all hit a good level of satisfaction.
11429,495,RESTAURANT#POSITIVE,I would defiantly come back here again as one of my top choices.
7288,7288,SERVICE#NEGATIVE,But the real problem was these young waiters.
3841,3841,FOOD#POSITIVE,Not as many choices as some of the other buffets on the strip but the quality of food is good.
8071,8071,FOOD#NEGATIVE,"At about $38 a person, I expected the dinner to be AMAZING and omggggggg, the food was incredible."
12037,1124,FOOD#POSITIVE,"Good spreads, great beverage selections and bagels really tasty."
1562,1562,LOCATION#NEGATIVE,Also slightly annoying that the restrooms are downstairs.
5072,5072,FOOD#POSITIVE,The house pate with mustard and toast ($13) was the perfect start to the meal.
10853,10853,QUALITY#POSITIVE,"Best of all, the sides were also solid."
7430,7430,SERVICE#NEGATIVE,"She came back and had put the entire bill on 1 card, what?"
