,category,text
87,SERVICE#POSITIVE,"The service is very good, and it's not as expensive as a lot of other places further up the Strip in the Venetian or Palazzo."
88,SERVICE#POSITIVE,"SERVICE:
Pretty good."
89,SERVICE#POSITIVE,My bottomless drinks were always filled.
90,SERVICE#POSITIVE,"The service was very friendly, and great with giving recommendations."
91,SERVICE#POSITIVE,The service was prompt and the staff was very friendly.
92,SERVICE#POSITIVE,"Good quality food, beautiful restaurant with knowledgeable friendly staff!"
93,SERVICE#POSITIVE,The line moves fast and you get your food pretty quick!
94,SERVICE#POSITIVE,"I don't remember the name of our server when we ate here last Sun, but she was tall and blonde, and considering we were seated in the bar she was extremely professional (kitchen took a while to get our entrees out and she made sure we were updated, when bf disappeared to the bathroom she asked me if I wanted his salad held for him until he came back rather than it sitting out...)."
95,SERVICE#POSITIVE,The server was very warm and friendly and he quickly came to take the orders.
96,SERVICE#POSITIVE,"Our server was attentive, helpful, and enthusiastic."
97,SERVICE#POSITIVE,"The food was good, service was great!"
98,SERVICE#POSITIVE,The only things I found to be impressive were the service and the wine.
99,SERVICE#POSITIVE,But the service was great and her scallops were perfect.
100,SERVICE#POSITIVE,"Once we paid, we were seated shortly after and to our liking, right next to the buffet food."
101,SERVICE#POSITIVE,"Portions are large, food is fresh, service is prompt....bloody Mary's are sooooo good!!!"
102,SERVICE#POSITIVE,"The food was ok, lots of variety, yummy dessert, and fine service."
103,SERVICE#POSITIVE,Service is top notch.
104,SERVICE#POSITIVE,The wait was not as long as anticipated and once seated the restaurants design is awesome and entertaining.
105,SERVICE#POSITIVE,"Plates were all spotless, so you didn't have to worry about checking your plate before using it."
106,SERVICE#POSITIVE,"The food was incredible and the service, outstanding."
107,SERVICE#POSITIVE,Great Food w a lots of flavor and a excellent service.
108,SERVICE#POSITIVE,"Service: Very good, Food prep team top notch."
109,SERVICE#POSITIVE,"Service - 5 Stars
Cleanliness - Excellent
Price - $40.00\/person for dinner."
110,SERVICE#POSITIVE,"The service is wonderful here, the food is delicious."
111,SERVICE#POSITIVE,Great service.
112,SERVICE#POSITIVE,"There was no waiting when we got here, which is good."
113,SERVICE#POSITIVE,"Great views, great service, great food."
114,SERVICE#POSITIVE,"Our food took a little longer than usual to come out, so our sever gave us a complimentary frozen hot chocolate which hit the spot."
115,SERVICE#POSITIVE,And the service was wonderful!
116,SERVICE#POSITIVE,"Fortunately for us, one of our guy friends is a frequent poker player at the Bellagio and got all 6 of us a fast pass, and bye-bye waiting in line!"
117,SERVICE#POSITIVE,"The food in the service were exceptional, without a doubt the best Thai food I've ever eaten in my life."
118,SERVICE#POSITIVE,But with the excellent service and food the second time I decided 3 stars would be fair.
119,SERVICE#POSITIVE,Our server was Dean and he was very charming and helpful.
120,SERVICE#POSITIVE,"The staff were courteous and constantly refilling our water and coffee, but I was ""backhanded"" every time."
121,SERVICE#POSITIVE,The Good - The restaurant is very nice and the staff (and their small uniforms) is beautiful.
122,SERVICE#POSITIVE,"The food came pretty quickly, and the service was alright - not terrible but not amazing."
123,SERVICE#POSITIVE,"The food excellent, the service awesome, and location ?"
124,SERVICE#POSITIVE,"7\/10

Service: Every time I've eaten here was during brunch w\/ a slight hangover."
125,SERVICE#POSITIVE,"The service was good, just good."
126,SERVICE#POSITIVE,The servers are outstanding- shout out to Gabby and Gary for the great service.
127,SERVICE#POSITIVE,"From the super-staff to the seductive salads, from the perfectly-cooked crab legs, wild boar sliders, duck ravioli and custom risotto bar to the moist-beyond-belief cake balls, macarons and homemade marshmallows... whatever you're doing, please keep doing it!"
128,SERVICE#POSITIVE,"(BurGR)

Anyway, service was 5-star quality, atmosphere was really nice, and the food was totally worth the price, which ended up being like $25 for sharing three sides + burger with four people."
129,SERVICE#POSITIVE,"For drinks we ordered a flight of Riesling, which perfectly complemented the food."
130,SERVICE#POSITIVE,Atmosphere is fun & service is good.
131,SERVICE#POSITIVE,The service was attentive and polite.
132,SERVICE#POSITIVE,"Our server was a bit frazzled, but was apologetic and once he was on task, it was great service."
133,SERVICE#POSITIVE,"Later, after I received my meal, I asked my waitress for a condiment & she seemed pleased to get it."
134,SERVICE#POSITIVE,"I actually feel like the service we got during brunch was as food if not better then the ""special"" service we recieved at the grand opening."
135,SERVICE#POSITIVE,"The waiter informed my boyfriend that the bread pudding is rated #5 top foods to eat in Las Vegas, but you must ask for it--it isn't listed on the menu."
136,SERVICE#POSITIVE,"The service was top notch, sometimes it is the little things like the waiter noticing we had spilled sauce on a coaster so he replaced it."
137,SERVICE#POSITIVE,High end knowledgable bar service - excellent French styled cuisine.
138,SERVICE#POSITIVE,The best Thai food with excellent service in the entire country period.
139,SERVICE#POSITIVE,"Second, the waiter and everyone working at Mon Ami Gabi was great."
140,SERVICE#POSITIVE,The service was delightful too.
141,SERVICE#POSITIVE,Waited an hour to get to the cashier.
142,SERVICE#POSITIVE,"What made the dinner so enjoyable was the friendliness of the staff, starting with the hostess and ending with our stellar waitress, Tracy."
143,SERVICE#POSITIVE,She even took a couple pictures of us with the fountains in the background and brought us a complimentary dessert for our anniversary.
144,SERVICE#POSITIVE,The woman working the tables for beverages was attentive and prompt with our drinks.
145,SERVICE#POSITIVE,"The service was very good, the waitress came to check on us frequently."
146,SERVICE#POSITIVE,Customer service wasn't bad though.
147,SERVICE#POSITIVE,While the service and food was amazing!
148,SERVICE#POSITIVE,I can tell he really loves his job and casino!
149,SERVICE#POSITIVE,the only redeeming factor of this place may have been the waiter we had.
150,SERVICE#POSITIVE,"The service was very good, refills on water came swiftly, and the pacing was appropriate for a French restaurant (i.e."
151,SERVICE#POSITIVE,Our meal lasted 4 hours - all of the food was timed perfectly.
152,SERVICE#POSITIVE,"I am vegan and Chef Malcolm (super funny, cool dude BTW) was happy to give me a walk through so I knew all of the vegan options."
153,SERVICE#POSITIVE,"Combine that with really good pricing, fast moving lines, good service, open 24 hours..and you get one of my rare 5-star reviews :)

I really recommend anything on the menu, but my favorites are the tuna melt, the club, the montagu, and the hawaiian BBQ, and please please pleaseeee get a cup of tomato soup, you won't regret it!!"
154,SERVICE#POSITIVE,"Price was very reasonable, service was good, seating was comfortable."
155,SERVICE#POSITIVE,"Of course, huge line, but I could not believe how fast the line moved and how quickly the food came."
156,SERVICE#POSITIVE,Gwen (I hope I am spelling that correctly) was our server and she was fantastic.
157,SERVICE#POSITIVE,Our waitress promptly took our drink orders shortly after we were seated.
158,SERVICE#POSITIVE,"Our waitress was *the* nicest lady ever and super smiley, yayyy ^^ Don't forget to tip generously-- the wait staff works hard clearing dishes from your feast and making you feel like a king!"
159,SERVICE#POSITIVE,For buffet service was unexpectedly good!
160,SERVICE#POSITIVE,"Great food, good service, and the very best 
place for people- and fountain-watching on the strip."
161,SERVICE#POSITIVE,Mention the awesome customer service both at the table and buffet.
162,SERVICE#POSITIVE,There is a very good selection of food and fast wait staff.
163,SERVICE#POSITIVE,":|

Overall everything was good & the service was amazing."
164,SERVICE#POSITIVE,Good service too
165,SERVICE#POSITIVE,*sigh*  I love the over-the-top decor and attentive staff.
166,SERVICE#POSITIVE,"celebrated my roomie's bday~love their service, easy but nice."
167,SERVICE#POSITIVE,We got refills instantly on beverages without having to ask - a HUGE plus.
168,SERVICE#POSITIVE,He was attentive and on point with the drink refills; Always appreciated when the Vegas weather is 115 degress outside.
169,SERVICE#POSITIVE,I have been to SEVERAL thai restaraunts since moving from Las Vegas and have yet to find one where the food and service can match up.
170,SERVICE#POSITIVE,"Our waiter was extremely accommodating and helpful in getting our order taken right away, and he was not kidding when he said the kitchen is fast."
171,SERVICE#POSITIVE,Service : always attentive and was great.
172,SERVICE#POSITIVE,The only reason I didn't give this 2 stars instead of 3 is because our waiter was super friendly.
173,SERVICE#POSITIVE,Excellent service and food and the decor...beautiful.
174,SERVICE#POSITIVE,Once we got in the place was beautiful and the server was great.
175,SERVICE#POSITIVE,"We paid $102 for a basic dinner for a family of five, and that includes no charge for the raw slider hamburgers, a 20% discount for the rest of the bill, and a 20% tip for the waiter for his terrific service."
176,SERVICE#POSITIVE,The servers were super attentive when it came to refilling our waters and beverages and pretty much I had a really smooth good meal.
177,SERVICE#POSITIVE,Having all the staff on the same page and having these quality control pieces in place is the best way to cater to allergies in a restaurant.
178,SERVICE#POSITIVE,It is a must try place :) All servers are very friendly and quick to serve.
179,SERVICE#POSITIVE,Attentive service and the waiters were on point with my coffee refills.
180,SERVICE#POSITIVE,"Food: 5\/5
Location: 5\/5
Ambiance: 5\/5
Service: 4\/5
Experience: 5\/5


The Verdict: 5\/5

I normally don't give 5\/5 but this buffet does deserve this score."
181,SERVICE#POSITIVE,Our waiter was a gem.
182,SERVICE#POSITIVE,"the food selection was fantastic, but waiting over hour to be seated."
183,SERVICE#POSITIVE,Great sandwiches fast service and can I say once again great sandwiches not big on hot sandwiches myself but this place made me change my mind
184,SERVICE#POSITIVE,"The food was delicious, service is excellent, and the views are nice."
185,SERVICE#POSITIVE,First I must say the service here is outstanding.
186,SERVICE#POSITIVE,The customer service was very nice as well.
187,SERVICE#POSITIVE,"Service:
The service is great."
188,SERVICE#POSITIVE,Service was good but I much rather have went to Bachannal!
189,SERVICE#POSITIVE,"Often times, people feel the need to share bad service, but in Scotty's case I knew I wanted people to know the good."
190,SERVICE#POSITIVE,"Our waiter checked in on us at least 4-5 times within the hour we were there, and it was not overburdening."
191,SERVICE#POSITIVE,Everything in the menu is great.The staff here are all helpful and awesome.
192,SERVICE#POSITIVE,"We frequently visit Mon Ami Gabi and every time we come here, the service is wonderful, the food is consistent, and ambiance is awesome."
193,SERVICE#POSITIVE,I was going to order something else and my server talked me into the sage chicken bend- omg!!!
194,SERVICE#POSITIVE,The service was good where our waiter was attentive to all our needs.
195,SERVICE#POSITIVE,- best service!
196,SERVICE#POSITIVE,The service was excellent and very friendly.
197,SERVICE#POSITIVE,"While we didn't believe that there was ""a lemon shortage"" according to the manager, he did promptly bring out some cut lemons and asked us to describe the person, which he was going to have a talk with."
198,SERVICE#POSITIVE,Service was great as well!
199,SERVICE#POSITIVE,Our server Gabby was friendly and worked efficiently.
200,SERVICE#POSITIVE,Her service was worth 5 stars.
201,SERVICE#POSITIVE,"All in all, it's a solid restaurant with good service and a nice alternative to just about everything else in Planet Hollywood."
202,SERVICE#POSITIVE,"Also, good to note, the service was EXCELLENT - let's just say one of my friend's definitely took advantage of the bottomless champagne and the waiter was SO tolerant and helpful."
203,SERVICE#POSITIVE,"If you go after 1-2pm (which hello, its Vegas so it's not hard to do) there is hardly any wait and you can walk right in."
204,SERVICE#POSITIVE,The service was awesome.
205,SERVICE#POSITIVE,"I give this place an overall 2.5 stars:

The Pros:  Great customer service."
206,SERVICE#POSITIVE,"our food took a little longer to come out than we thought it should but we didn't even say anything about it, our waitress just came over and apologized and when it came time to order the frozen hot chocolates, we were debating between two of them so she brought out both and comped one because of the wait."
207,SERVICE#POSITIVE,Service was impeccable.
208,SERVICE#POSITIVE,Great food - Awesome Service and if you can get a spot on the patio on a cool evening to see the fountains at Bellagio across the street you should love it.
209,SERVICE#POSITIVE,The service was fantastic and we enjoyed hearing stories about people who have ordered their $1000 ice cream!
210,SERVICE#POSITIVE,5 stars for service.
211,SERVICE#POSITIVE,"Wait time and service was not bad at all, compliments to the line and cooks, uniforms were quite $ not $$, overall go try for yourself."
212,SERVICE#POSITIVE,Amazing food and wonderful service.
213,SERVICE#POSITIVE,"Diverse menu, friendly staff and busy atmosphere."
214,SERVICE#POSITIVE,"Best seat in the house with view of water fountain, good wine, good food n good service."
215,SERVICE#POSITIVE,What a wonderful way to say Happy Birthday to my tastebuds\/stomach...they also brought out  complimentary profiterole with vanilla ice cream!
216,SERVICE#POSITIVE,Good service by waitstaff and I think the food is good quality - keeping in mind this is a buffet.
217,SERVICE#POSITIVE,"The distinctive  characteristic of the Wynn buffet is the increased use of food stations (i.e., where somebody prepares and\/or serves you food)."
218,SERVICE#POSITIVE,"So after the meal, we asked to have our burger and fries boxed, which our server was happy to do."
219,SERVICE#POSITIVE,"The waiter was top notch, the hostesses were more into looking good and talking to each other than guest interactions, at least when we were there."
220,SERVICE#POSITIVE,Had a Caprese Sandwich on wheat (which was recommended by an employee there) and a side of Mac and Cheese... and my son had a turkey sandwich with all if the Thanksgiving fixings on it... the food was so good.
221,SERVICE#POSITIVE,"Great food and great service, the pricing is not nearly as high as you would expect for the view, ambiance and the fact that it's right on the strip."
222,SERVICE#POSITIVE,Service was good and attentive.
223,SERVICE#POSITIVE,The prime rib was also good and there was great service.
224,SERVICE#POSITIVE,The best thing was the service.
225,SERVICE#POSITIVE,The chicken was undercooked but they were helpful in remakng it and taking it off the bill.
226,SERVICE#POSITIVE,"Staff was friendly and a delish, hearty, breakfast to start the day."
227,SERVICE#POSITIVE,"Our server, Hilary was very friendly and professional."
228,SERVICE#POSITIVE,"Also, it means you can get a lot more plates because only 3 or 4 little dishes fit on a plate :)

Overall, food was fresh, dessert was good, and the waiters taking your drink orders were very helpful (who's importance is definitely not to be underestimated!)."
229,SERVICE#POSITIVE,"Service:
Pretty good, though they were not completely slammed during the time we went."
230,SERVICE#POSITIVE,"Our server was friendly and attentive...it took a while to get our check, but we all chalked it up to being Parisian style."
231,SERVICE#POSITIVE,Our server Jose was kind enough to offer to take our picture & provide us with what felt like special attention despite the crowd that night.
232,SERVICE#POSITIVE,The customer service was phenomenal and food was amazing!
233,SERVICE#POSITIVE,"Service, atmosphere, food - everything was perfect and an amazing deal!"
234,SERVICE#POSITIVE,Our server was very professional and nice.
235,SERVICE#POSITIVE,We realized they honored the total rewards tier and once we showed them that got seated instantly.
236,SERVICE#POSITIVE,"Even though the food was AMAZING, our waitress Kaysea, made our experience even better."
237,SERVICE#POSITIVE,"The service was excellent, my empty plated didn't stay at my table for more than 2 min."
238,SERVICE#POSITIVE,There was NO line at all and the staff was lively and very helpful!
239,SERVICE#POSITIVE,"Great service, food came fast!"
240,SERVICE#POSITIVE,"we asked him for the most popular dishes and without hesitation had his top 3 choices for us (but since we were hungry, we asked for his top 4 picks instead haha)."
241,SERVICE#POSITIVE,The service there is good there.
242,SERVICE#POSITIVE,Also she made some special vegetarian dishes based on our request.
243,SERVICE#POSITIVE,Good service and pleasant open surroundings even if you eat inside.
244,SERVICE#POSITIVE,The service here was also very good about drink refills and taking away dirty plates.
245,SERVICE#POSITIVE,The service was fast & friendly.
246,SERVICE#POSITIVE,"Prices are cheap, service is cool and the place is opened 24\/7...
How could you complain?"
247,SERVICE#POSITIVE,"Food, Service, Location deserves the 5 stars, but cannot hand those ratings out with impunity."
248,SERVICE#POSITIVE,I started talking to the waitress and she said that the reason why the food was so fresh is that they make a trip to LA TWICE a week to get fresh ingredients for their dishes.
249,SERVICE#POSITIVE,This is a great buffet with great service.
250,SERVICE#POSITIVE,Staff was helpful and bartender\/server was fantastic.
251,SERVICE#POSITIVE,The bartenders were courteous and efficient in a restaurant that was very busy.
252,SERVICE#POSITIVE,"Love the food, great service
I miss the hash though."
253,SERVICE#POSITIVE,"Great food, atmosphere, service, etc."
254,SERVICE#POSITIVE,"The crabcake sandwich that my friend had was pretty good though... 30 minute on what appeared to be a restaurant with plenty of open seating, which was somewhat frustrating, but that's Vegas..."
255,SERVICE#POSITIVE,The waiter warned us the sizes were very large.
256,SERVICE#POSITIVE,Great location and awesome service from staff.
257,SERVICE#POSITIVE,Fantastic service with great attention to details & timing to suit your needs.
258,SERVICE#POSITIVE,"I visited all 3 Gordon Ramsey restaurants during my last trip to Vegas, and I would have to say that I received the best service here."
259,SERVICE#POSITIVE,Very impressed with management and our waitress.
260,SERVICE#POSITIVE,Our waiter was super awesome and pretty attentive for having a lot of tables and being super busy.
261,SERVICE#POSITIVE,The girl who took our order was kind and attentive.
262,SERVICE#POSITIVE,"What is even funnier, is that the last item served was a salad!"
263,SERVICE#POSITIVE,"We did have to wait a good amount of time for our food...but, the waiter explained that when we placed our order it would take a lil while since what we ordered was made fresh...kinda makes the wait bearable...and I had the St. Mimosa with OJ instead of grapefruit  juice and it was SUPERFANTASICAL."
264,SERVICE#POSITIVE,Service was fantastic.
265,SERVICE#POSITIVE,"--HOW IS THE SERVICE--

Its Vegas, so you get top service at this buffet."
266,SERVICE#POSITIVE,"Wait was minimal, service outstanding, food...wow."
267,SERVICE#POSITIVE,"Table for 4, no wait, but the restaurant was packed 30 minutes later."
268,SERVICE#POSITIVE,"Great atmosphere and service, located at the Paris Casino."
269,SERVICE#POSITIVE,"The service was great, atmosphere was great, and the food....yum, FANTASTIC!"
270,SERVICE#POSITIVE,Great service...I have been to most in Vegas...the best ones are the Sahara location and the one in the Linq!
271,SERVICE#POSITIVE,"We were seated right away, weirdly, because everyone was telling me how packed this place was."
272,SERVICE#POSITIVE,"The staff was very friendly, our waitress took our order with great enthusiasm and friendliness that match the interior and ambience of Serendipity."
273,SERVICE#POSITIVE,"However, the atmosphere was great and our waitress was really nice."
274,SERVICE#POSITIVE,I must put out there that the service was great and our waitress was very attentive.
275,SERVICE#POSITIVE,"I was not disappointed by the authenticity, polite service & delicious complexity of flavors!!"
276,SERVICE#POSITIVE,"Friendly, attentive staff and delicious food."
277,SERVICE#POSITIVE,The worker offered to make her something else but over an hour had passed and we had to get to a show so we paid the bill and left.
278,SERVICE#POSITIVE,Chef Richard was very kind to take his time to give me a walk through to all the different vegan dishes.
279,SERVICE#POSITIVE,The chef walked me through the entire place to help me pick food that was both gluten and dairy free.
280,SERVICE#POSITIVE,The sommelier here is a very affable man and after chatting him up I was able to twist his arm and offer him a little taster of the Bergstrom Pinot Noir I had one night.
281,SERVICE#POSITIVE,The service was prompt and courteous.
282,SERVICE#POSITIVE,"07\/06\/10

Sure, Mon Ami Gabi serves mostly tourists, but the service and their food was phenomenal."
283,SERVICE#POSITIVE,"I would have hoped service would have been better or perhaps faster, but once again the long wait times simply did not justify the overall dessert."
284,SERVICE#POSITIVE,Always consistently delicious and good service.
285,SERVICE#POSITIVE,"Our server was polite, funny, and pretty attentive."
286,SERVICE#POSITIVE,He helped us with our meal decisions (my husband had escargot and I had the baked goat cheese) and was overall super pleasant.
287,SERVICE#POSITIVE,But ya know...the service was pleasant here and it was kinda nice eating at a restaurant off the strip...away from all the chaos.
288,SERVICE#POSITIVE,"Service was awesome, we sat at the kitchen bar area and got to see Christina, winner of Hell's Kitchen season 10!"
289,SERVICE#POSITIVE,We were seating promptly and opened our menus.
290,SERVICE#POSITIVE,The server immediately took my food to be refired once he was informed.
291,SERVICE#POSITIVE,"Came here for dinner which was about $27-28 per person, on weeknights(Weekends are slightly higher)

Didn't take long to get in, which was good."
292,SERVICE#POSITIVE,They should be personable and friendly ...especially at a restaurant located at Planet Hollywood that caters to so many people from all over the country and world.
293,SERVICE#POSITIVE,"Overall, 5 stars for food and drinks, 5 stars for service, 5 stars for cleanliness and 5 stars for environment and decoration."
294,SERVICE#POSITIVE,Great service and friendly staff too.
295,SERVICE#POSITIVE,"The Decor and presentation were spot on, but it would be great if the food customers were held to some standards."
296,SERVICE#POSITIVE,"Great, attentive waiters were always available to get your order for a drink or to take away your dishes."
297,SERVICE#POSITIVE,Service was great and our dishes were delicious.
298,SERVICE#POSITIVE,"Having said all that, great food, and great people with no wait made this a great experience, hence the 5 stars."
299,SERVICE#POSITIVE,All staff was very attentive.
300,SERVICE#POSITIVE,As I sat down the waiter have me an iPad to look over the beverages & deserts which is cool that you get to see a clear view of what you want to drink and eat.
